parent_type_usr,name,ruby_name,type,usr
c:@S@PROCTAB,did_fake,did_fake,int,c:@S@PROCTAB@FI@did_fake
c:@S@PROCTAB,finder,finder,"int (*)(struct PROCTAB *const restrict, proc_t *const restrict)",c:@S@PROCTAB@FI@finder
c:@S@PROCTAB,flags,flags,unsigned int,c:@S@PROCTAB@FI@flags
c:@S@PROCTAB,i,i,int,c:@S@PROCTAB@FI@i
c:@S@PROCTAB,nuid,nuid,int,c:@S@PROCTAB@FI@nuid
c:@S@PROCTAB,path,path,char [64],c:@S@PROCTAB@FI@path
c:@S@PROCTAB,pathlen,pathlen,unsigned int,c:@S@PROCTAB@FI@pathlen
c:@S@PROCTAB,pids,pids,pid_t *,c:@S@PROCTAB@FI@pids
c:@S@PROCTAB,procfs,procfs,DIR *,c:@S@PROCTAB@FI@procfs
c:@S@PROCTAB,reader,reader,"proc_t *(*)(struct PROCTAB *const restrict, proc_t *const restrict)",c:@S@PROCTAB@FI@reader
c:@S@PROCTAB,taskdir,taskdir,DIR *,c:@S@PROCTAB@FI@taskdir
c:@S@PROCTAB,taskdir_user,taskdir_user,pid_t,c:@S@PROCTAB@FI@taskdir_user
c:@S@PROCTAB,taskfinder,taskfinder,"int (*)(struct PROCTAB *const restrict, const proc_t *const restrict, proc_t *const restrict, char *const restrict)",c:@S@PROCTAB@FI@taskfinder
c:@S@PROCTAB,taskreader,taskreader,"proc_t *(*)(struct PROCTAB *const restrict, const proc_t *const restrict, proc_t *const restrict, char *const restrict)",c:@S@PROCTAB@FI@taskreader
c:@S@PROCTAB,u,u,unsigned int,c:@S@PROCTAB@FI@u
c:@S@PROCTAB,uids,uids,uid_t *,c:@S@PROCTAB@FI@uids
c:@S@PROCTAB,vp,vp,void *,c:@S@PROCTAB@FI@vp
c:@S@disk_stat,disk_name,disk_name,char [32],c:@S@disk_stat@FI@disk_name
c:@S@disk_stat,inprogress_IO,inprogress_IO,unsigned int,c:@S@disk_stat@FI@inprogress_IO
c:@S@disk_stat,merged_reads,merged_reads,unsigned int,c:@S@disk_stat@FI@merged_reads
